"title","name","vintage","type","temporal","spatial","url","modified","description","contact"
"Current Population Survey: Basic Monthly","cps/basic/may",2025,"Microdata","2025-05/2025-05","United States","http://api.census.gov/data/2025/cps/basic/may","2025-01-21 11:17:15.0","To provide estimates of employment, unemployment, and other characteristics of the general labor force, of the population as a whole, and of various subgroups of the population. Monthly labor force data for the country are used by the Bureau of Labor Statistics (BLS) to determine the distribution of funds under the Job Training Partnership Act. These data are collected through combined computer-assisted personal interviewing (CAPI) and computer-assisted telephone interviewing (CATI). In addition to the labor force data, the CPS basic funding provides annual data on work experience, income, health insurance, and migration data from the Annual Social and Economic Supplement (ASEC), and on school enrollment of the population from the October Supplement. Other supplements, some of which are sponsored by other agencies, are conducted biennially or intermittently.","dsd.cps@census.gov"
"Current Population Survey: Basic Monthly","cps/basic/mar",2025,"Microdata","2025-03/2025-03","United States","http://api.census.gov/data/2025/cps/basic/mar","2025-01-21 11:17:15.0","To provide estimates of employment, unemployment, and other characteristics of the general labor force, of the population as a whole, and of various subgroups of the population. Monthly labor force data for the country are used by the Bureau of Labor Statistics (BLS) to determine the distribution of funds under the Job Training Partnership Act. These data are collected through combined computer-assisted personal interviewing (CAPI) and computer-assisted telephone interviewing (CATI). In addition to the labor force data, the CPS basic funding provides annual data on work experience, income, health insurance, and migration data from the Annual Social and Economic Supplement (ASEC), and on school enrollment of the population from the October Supplement. Other supplements, some of which are sponsored by other agencies, are conducted biennially or intermittently.","dsd.cps@census.gov"
"Current Population Survey: Basic Monthly","cps/basic/jun",2025,"Microdata","2025-06/2025-06","United States","http://api.census.gov/data/2025/cps/basic/jun","2025-01-21 11:17:15.0","To provide estimates of employment, unemployment, and other characteristics of the general labor force, of the population as a whole, and of various subgroups of the population. Monthly labor force data for the country are used by the Bureau of Labor Statistics (BLS) to determine the distribution of funds under the Job Training Partnership Act. These data are collected through combined computer-assisted personal interviewing (CAPI) and computer-assisted telephone interviewing (CATI). In addition to the labor force data, the CPS basic funding provides annual data on work experience, income, health insurance, and migration data from the Annual Social and Economic Supplement (ASEC), and on school enrollment of the population from the October Supplement. Other supplements, some of which are sponsored by other agencies, are conducted biennially or intermittently.","dsd.cps@census.gov"
"Current Population Survey: Basic Monthly","cps/basic/jul",2025,"Microdata","2025-07/2025-07","United States","http://api.census.gov/data/2025/cps/basic/jul","2025-01-21 11:17:15.0","To provide estimates of employment, unemployment, and other characteristics of the general labor force, of the population as a whole, and of various subgroups of the population. Monthly labor force data for the country are used by the Bureau of Labor Statistics (BLS) to determine the distribution of funds under the Job Training Partnership Act. These data are collected through combined computer-assisted personal interviewing (CAPI) and computer-assisted telephone interviewing (CATI). In addition to the labor force data, the CPS basic funding provides annual data on work experience, income, health insurance, and migration data from the Annual Social and Economic Supplement (ASEC), and on school enrollment of the population from the October Supplement. Other supplements, some of which are sponsored by other agencies, are conducted biennially or intermittently.","dsd.cps@census.gov"
"Current Population Survey: Basic Monthly","cps/basic/jan",2025,"Microdata","2025-01/2025-01","United States","http://api.census.gov/data/2025/cps/basic/jan","2025-01-21 11:17:14.0","To provide estimates of employment, unemployment, and other characteristics of the general labor force, of the population as a whole, and of various subgroups of the population. Monthly labor force data for the country are used by the Bureau of Labor Statistics (BLS) to determine the distribution of funds under the Job Training Partnership Act. These data are collected through combined computer-assisted personal interviewing (CAPI) and computer-assisted telephone interviewing (CATI). In addition to the labor force data, the CPS basic funding provides annual data on work experience, income, health insurance, and migration data from the Annual Social and Economic Supplement (ASEC), and on school enrollment of the population from the October Supplement. Other supplements, some of which are sponsored by other agencies, are conducted biennially or intermittently.","dsd.cps@census.gov"
"Current Population Survey: Basic Monthly","cps/basic/feb",2025,"Microdata","2025-02/2025-02","United States","http://api.census.gov/data/2025/cps/basic/feb","2025-01-21 11:17:15.0","To provide estimates of employment, unemployment, and other characteristics of the general labor force, of the population as a whole, and of various subgroups of the population. Monthly labor force data for the country are used by the Bureau of Labor Statistics (BLS) to determine the distribution of funds under the Job Training Partnership Act. These data are collected through combined computer-assisted personal interviewing (CAPI) and computer-assisted telephone interviewing (CATI). In addition to the labor force data, the CPS basic funding provides annual data on work experience, income, health insurance, and migration data from the Annual Social and Economic Supplement (ASEC), and on school enrollment of the population from the October Supplement. Other supplements, some of which are sponsored by other agencies, are conducted biennially or intermittently.","dsd.cps@census.gov"
"Current Population Survey: Basic Monthly","cps/basic/apr",2025,"Microdata","2025-04/2025-04","United States","http://api.census.gov/data/2025/cps/basic/apr","2025-01-21 11:17:15.0","To provide estimates of employment, unemployment, and other characteristics of the general labor force, of the population as a whole, and of various subgroups of the population. Monthly labor force data for the country are used by the Bureau of Labor Statistics (BLS) to determine the distribution of funds under the Job Training Partnership Act. These data are collected through combined computer-assisted personal interviewing (CAPI) and computer-assisted telephone interviewing (CATI). In addition to the labor force data, the CPS basic funding provides annual data on work experience, income, health insurance, and migration data from the Annual Social and Economic Supplement (ASEC), and on school enrollment of the population from the October Supplement. Other supplements, some of which are sponsored by other agencies, are conducted biennially or intermittently.","dsd.cps@census.gov"
"Current Population Survey Voting Supplement","cps/voting/nov",2024,"Microdata","2024-11/2024-11","US","http://api.census.gov/data/2024/cps/voting/nov","2025-04-07 16:17:48.0","Provides demographic information on persons who did and did not register to vote. Also measures number of persons who voted and reasons for not registering.","dsd.cps@census.gov"
"Current Population Survey: Veterans Supplement","cps/vets/aug",2024,"Microdata","2024-08/2024-08","US","http://api.census.gov/data/2024/cps/vets/aug","2025-02-12 15:38:30.0","Provides data for veterans of the United States on Vietnam-theater and Persian Gulf-theater status, service-connected income, effect of a service-connected disability on current labor force participation and participation in veterans' programs.","dsd.cps@census.gov"
"Current Population Survey: Fertility Supplement","cps/fertility/jun",2024,"Microdata","2024-06/2024-06","US","http://api.census.gov/data/2024/cps/fertility/jun","2025-03-06 09:33:29.0","Provides data on the number of children that women aged 15-50 have ever had, year of first birth, mother's age at first birth, and marital status at first birth.","dsd.cps@census.gov"
